entry_time,exit_time,position_type,P_entry,exit_price,PnL,capital_used,position_size
2024-11-03 21:26:13.511,2024-11-05 11:47:53.658,long,1.08898,1.09193,2.7089570056383114,1000,918.2905103858657
2024-11-05 23:41:06.193,2024-11-06 00:38:03.425,long,1.07781,1.07502,-2.5885824032063613,1000,927.8073129772409
2024-11-06 03:34:25.388,2024-11-06 06:15:27.577,long,1.07573,1.07296,-2.574995584394003,1000,929.6012940050011
2024-11-06 10:08:57.035,2024-11-07 02:21:26.868,long,1.07373,1.07656,2.6356719100703976,1000,931.3328304136048
2024-11-13 08:30:09.516,2024-11-13 08:49:03.990,long,1.06522,1.06246,-2.591014062822793,1000,938.7732111676461
2024-11-14 09:27:01.057,2024-11-14 11:22:48.074,long,1.05536,1.05815,2.6436476652515237,1000,947.5439660400242
2024-11-15 03:45:04.096,2024-11-15 09:17:22.352,long,1.05713,1.05442,-2.5635446917597555,1000,945.9574508338616
2024-11-18 10:52:47.253,2024-11-18 14:06:35.634,long,1.05749,1.06028,2.6383228210194405,1000,945.635419720281
2024-11-19 08:13:32.155,2024-11-19 18:50:58.086,long,1.0581,1.06079,2.5422927889612126,1000,945.0902561194594
2024-11-22 04:19:20.756,2024-11-22 04:37:46.845,long,1.03884,1.04154,2.599052789649922,1000,962.6121443148127
2024-11-25 22:50:01.479,2024-11-26 04:03:26.216,long,1.04789,1.05062,2.605235282329368,1000,954.2986382158433
2024-11-27 03:08:23.503,2024-11-27 03:20:46.060,long,1.05119,1.05391,2.5875436410162136,1000,951.3028091971955
2024-11-29 02:15:03.797,2024-11-29 04:41:30.214,long,1.05858,1.05557,-2.8434317670843763,1000,944.6617166392714
